,time_utc,18_evening,12_evening,6_evening,18_morning,12_morning,6_morning
2023-03-27,2023-03-27,2460030.74169055,2460030.7237809226,2460030.7059618505,2460031.129480397,2460031.147384321,2460031.1651956625
2023-03-28,2023-03-28,2460031.741918548,2460031.7239882313,2460031.7061547334,2460032.128833437,2460032.146758766,2460032.1645850786
2023-03-29,2023-03-29,2460032.742148912,2460032.724196838,2460032.706347934,2460033.1281846277,2460033.1461323956,2460033.16397396
2023-03-30,2023-03-30,2460033.7423817893,2460033.724406896,2460033.7065416113,2460034.1275343094,2460034.1455055377,2460034.1633629776
2023-03-31,2023-03-31,2460034.7426173277,2460034.7246185597,2460034.706735927,2460035.126882825,2460035.144878524,2460035.1627526707
2023-04-01,2023-04-01,2460035.7428556774,2460035.7248319862,2460035.7069310467,2460036.126230521,2460036.1442515748,2460036.162143363
2023-04-02,2023-04-02,2460036.743096989,2460036.725047334,2460036.7071271376,2460037.125577749,2460037.1436235616,2460037.161535382
2023-04-03,2023-04-03,2460037.7433414147,2460037.7252647644,2460037.7073243703,2460038.1249248628,2460038.142996281,2460038.1609290536
2023-04-04,2023-04-04,2460038.7435891065,2460038.7254844387,2460038.707522917,2460039.1242722184,2460039.142370077,2460039.1603247086
2023-04-05,2023-04-05,2460039.743840217,2460039.725706521,2460039.707722952,2460040.123617917,2460040.1417452935,2460040.159722677
2023-04-06,2023-04-06,2460040.7440949,2460040.725931175,2460040.7079246514,2460041.1229639794,2460041.1411222788,2460041.1591232903
2023-04-07,2023-04-07,2460041.744353306,2460041.726158565,2460041.7081283773,2460042.1223112238,2460042.1405013795,2460042.1585268807
2023-04-08,2023-04-08,2460042.7446155827,2460042.7263888507,2460042.7083344744,2460043.1216600155,2460043.139882943,2460043.1579337786
2023-04-09,2023-04-09,2460043.7448818707,2460043.726622188,2460043.7085428042,2460044.121010721,2460044.1392673166,2460044.157343292
2023-04-10,2023-04-10,2460044.7451523,2460044.726858723,2460044.7087535295,2460045.120363706,2460045.1386548444,2460045.1567561068
2023-04-11,2023-04-11,2460045.745426989,2460045.727098589,2460045.708966801,2460046.1197193325,2460046.138045868,2460046.156173118
2023-04-12,2023-04-12,2460046.745706037,2460046.7273419052,2460046.709182756,2460047.1190779605,2460047.137440143,2460047.1555946446
2023-04-13,2023-04-13,2460047.745989525,2460047.727588772,2460047.7094015134,2460048.1184399435,2460048.1368366503,2460048.155020999
2023-04-14,2023-04-14,2460048.746277511,2460048.727839269,2460048.709623175,2460049.1178056267,2460049.1362375403,2460049.1544524813
2023-04-15,2023-04-15,2460049.7465700316,2460049.728093456,2460049.709847822,2460050.1171737327,2460050.1356431264,2460050.153889382
2023-04-16,2023-04-16,2460050.7468670993,2460050.7283521206,2460050.710075513,2460051.1165440255,2460051.1350537096,2460051.1533319764
2023-04-17,2023-04-17,2460051.7471687035,2460051.7286150306,2460051.710306289,2460052.1159188724,2460052.1344695766,2460052.152780527
2023-04-18,2023-04-18,2460052.747474813,2460052.7288817596,2460052.71054017,2460053.1152985776,2460053.133891002,2460053.1522352807
2023-04-19,2023-04-19,2460053.7477853773,2460053.729152287,2460053.7107771602,2460054.114683437,2460054.13331825,2460054.1516964757
2023-04-20,2023-04-20,2460054.748100331,2460054.729426577,2460054.7110172505,2460055.1140737412,2460055.1327515803,2460055.151164343
2023-04-21,2023-04-21,2460055.748420274,2460055.729704584,2460055.711260423,2460056.1134697804,2460056.13219125,2460056.150637608
2023-04-22,2023-04-22,2460056.748746076,2460056.729986255,2460056.711506653,2460057.1128718466,2460057.1316375174,2460057.1501173144
2023-04-23,2023-04-23,2460057.7490761364,2460057.7302715327,2460057.711755913,2460058.1122802366,2460058.131090645,2460058.14960433
2023-04-24,2023-04-24,2460058.7494103606,2460058.7305603586,2460058.712008176,2460059.111695252,2460059.1305490662,2460059.1490988936
2023-04-25,2023-04-25,2460059.7497486514,2460059.730852673,2460059.712263413,2460060.111117198,2460060.130013599,2460060.148601248
2023-04-26,2023-04-26,2460060.750090909,2460060.731148414,2460060.712521596,2460061.110544877,2460061.1294857445,2460061.148111636
2023-04-27,2023-04-27,2460061.750437032,2460061.731447519,2460061.7127826954,2460062.109977104,2460062.12896578,2460062.147630302
2023-04-28,2023-04-28,2460062.7507869126,2460062.7317499216,2460062.7130466807,2460063.1094171265,2460063.128453984,2460063.14715749
2023-04-29,2023-04-29,2460063.7511404394,2460063.7320555532,2460063.713313518,2460064.1088652625,2460064.127950633,2460064.1466934416
2023-04-30,2023-04-30,2460064.7514974973,2460064.7323643407,2460064.7135831723,2460065.1083218292,2460065.1274560047,2460065.146238399
2023-05-01,2023-05-01,2460065.7518579657,2460065.7326762085,2460065.7138556037,2460066.107787144,2460066.1269703745,2460066.1457926026
2023-05-02,2023-05-02,2460066.7522217203,2460066.732991078,2460066.714130773,2460067.1072615227,2460067.1264940174,2460067.14535629
2023-05-03,2023-05-03,2460067.7525886344,2460067.7333088676,2460067.7144086375,2460068.1067452817,2460068.1260272064,2460068.1449296987
2023-05-04,2023-05-04,2460068.7529585785,2460068.733629496,2460068.714689155,2460069.106238735,2460069.125570215,2460069.1445130645
2023-05-05,2023-05-05,2460069.7533314205,2460069.733952878,2460069.7149734474,2460070.1057421966,2460070.1251233127,2460070.14410556
2023-05-06,2023-05-06,2460070.7537070243,2460070.7342789276,2460070.7152607846,2460071.105255978,2460071.12468677,2460071.1437072684
2023-05-07,2023-05-07,2460071.754085247,2460071.734607551,2460071.7155506937,2460072.10478039,2460072.1242608535,2460072.143319632
2023-05-08,2023-05-08,2460072.7544659344,2460072.734938945,2460072.7158431117,2460073.104315738,2460073.123843428,2460073.1429428803
2023-05-09,2023-05-09,2460073.754848916,2460073.7352749747,2460073.7161379643,2460074.103860652,2460074.1234364123,2460074.1425772356
2023-05-10,2023-05-10,2460074.755236078,2460074.735613301,2460074.716435157,2460075.1034142124,2460075.12304081,2460075.142222912
2023-05-11,2023-05-11,2460075.7556271297,2460075.735953763,2460075.7167345774,2460076.1029796214,2460076.122656866,2460076.141880112
2023-05-12,2023-05-12,2460076.756019937,2460076.7362961764,2460076.7170360875,2460077.102557159,2460077.122284809,2460077.14154902
2023-05-13,2023-05-13,2460077.756414231,2460077.7366403304,2460077.717339527,2460078.1021470865,2460078.12192485,2460078.1412298046
2023-05-14,2023-05-14,2460078.7568097156,2460078.7369859912,2460078.7176447096,2460079.101749647,2460079.12157718,2460079.1409226116
2023-05-15,2023-05-15,2460079.757206072,2460079.7373328996,2460079.717951427,2460080.101365061,2460080.121241967,2460080.1406275653
2023-05-16,2023-05-16,2460080.7576029575,2460080.737680775,2460080.7182594496,2460081.1009935285,2460081.12091936,2460081.14034477
2023-05-17,2023-05-17,2460081.7580000097,2460081.738029317,2460081.7185685257,2460082.10063523,2460082.1206094865,2460082.1400743085
2023-05-18,2023-05-18,2460082.7583968486,2460082.738378206,2460082.7188783865,2460083.1002903306,2460083.1203124584,2460083.139816248
2023-05-19,2023-05-19,2460083.758793079,2460083.738727109,2460083.7191887503,2460084.0999589814,2460084.120028374,2460084.1395706413
2023-05-20,2023-05-20,2460084.759188296,2460084.7390756826,2460084.719499322,2460085.099641323,2460085.1197573217,2460085.139337533
2023-05-21,2023-05-21,2460085.759582087,2460085.739423575,2460085.719809801,2460086.099337491,2460086.119499383,2460086.1391169596
2023-05-22,2023-05-22,2460086.7599740364,2460086.739770431,2460086.720119881,2460087.099047614,2460087.119254634,2460087.1389089515
2023-05-23,2023-05-23,2460087.760363727,2460087.7401158945,2460087.7204292547,2460088.0987718147,2460088.1190231447,2460088.1387135354
2023-05-24,2023-05-24,2460088.7607507436,2460088.7404596074,2460088.7207376133,2460089.0985102123,2460089.118804981,2460089.1385307317
2023-05-25,2023-05-25,2460089.7611346715,2460089.7408012147,2460089.721044649,2460090.0982629177,2460090.1186002023,2460090.1383605567
2023-05-26,2023-05-26,2460090.7615151005,2460090.7411403623,2460090.721350054,2460091.0980300363,2460091.118408861,2460091.1382030193
2023-05-27,2023-05-27,2460091.7618935267,2460091.7414766983,2460091.7216548664,2460092.097811665,2460092.1182310036,2460092.1380581236
2023-05-28,2023-05-28,2460092.7622706005,2460092.7418118427,2460092.7219583993,2460093.097607892,2460093.1180666685,2460093.137925865
2023-05-29,2023-05-29,2460093.762642943,2460093.7421447937,2460093.72225939,2460094.0974187977,2460094.1179158855,2460094.137806234
2023-05-30,2023-05-30,2460094.7630101517,2460094.7424738854,2460094.722557535,2460095.097243506,2460095.11777868,2460095.137699214
2023-05-31,2023-05-31,2460095.763371834,2460095.7427987754,2460095.7228525346,2460096.0970818284,2460096.1176550677,2460096.137604783
2023-06-01,2023-06-01,2460096.7637276067,2460096.743119132,2460096.7231440977,2460097.096935198,2460097.1175450613,2460097.137522432
2023-06-02,2023-06-02,2460097.7640771004,2460097.7434346313,2460097.7234319397,2460098.096803671,2460098.1174486554,2460098.1374525405
2023-06-03,2023-06-03,2460098.764419958,2460098.7437449615,2460098.7237157854,2460099.096687297,2460099.1173650133,2460099.1373952404
2023-06-04,2023-06-04,2460099.764755833,2460099.7440498206,2460099.723995368,2460100.096586118,2460100.117295112,2460100.137350496
2023-06-05,2023-06-05,2460100.7650843873,2460100.7443489097,2460100.7242704234,2460101.096500172,2460101.1172389467,2460101.1373182666
2023-06-06,2023-06-06,2460101.7654052842,2460101.744641933,2460101.724540687,2460102.096429487,2460102.117196504,2460102.1372985067
2023-06-07,2023-06-07,2460102.765718184,2460102.744928587,2460102.7248058887,2460103.0963740824,2460103.117167761,2460103.1372911585
2023-06-08,2023-06-08,2460103.7660227395,2460103.745208563,2460103.7250657477,2460104.0963339577,2460104.117152678,2460104.137296151
